t_ps,beta_core_rmsd,contact_jaccard
48100,8.7032,0.4820
48150,8.4098,0.4989
48200,8.5397,0.4932
48250,8.5661,0.4817
48300,8.7597,0.4966
48350,8.8768,0.4795
48400,8.6046,0.4875
48450,8.5836,0.4820
48500,8.5068,0.4692
48550,8.2715,0.4828
48600,8.3900,0.4932
48650,8.5541,0.4966
48700,8.0936,0.4828
48750,8.2604,0.4864
48800,8.4436,0.4738
48850,8.2956,0.4700
48900,8.1662,0.4580
48950,8.1588,0.4717
49000,8.0941,0.4822
49050,8.1639,0.4762
49100,8.4089,0.4909
49150,8.0283,0.4763
49200,7.8978,0.4875
49250,7.7582,0.4919
49300,7.8250,0.4828
49350,7.9524,0.4656
49400,7.8097,0.4942
49450,8.0388,0.4839
49500,7.9617,0.4808
49550,7.8481,0.4899
49600,8.1513,0.4810
49650,8.3355,0.4766
49700,8.6123,0.4753
49750,8.1762,0.4709
49800,8.1199,0.4852
49850,8.1085,0.4735
49900,7.9174,0.4648
49950,8.1712,0.4541
50000,8.2821,0.4810
