t_ps,beta_core_rmsd,contact_jaccard
46200,6.2216,0.5771
46250,6.2388,0.5754
46300,6.1649,0.5678
46350,6.1484,0.5612
46400,5.9238,0.5896
46450,5.8007,0.5855
46500,5.9745,0.5729
46550,5.6953,0.5627
46600,5.7798,0.5631
46650,5.9436,0.5725
46700,5.9396,0.5802
46750,5.4494,0.5607
46800,5.7754,0.5489
46850,5.9834,0.5377
46900,6.3075,0.5404
46950,6.2844,0.5215
47000,6.2246,0.5235
47050,5.9862,0.5439
47100,6.2680,0.5304
47150,6.4139,0.5288
47200,6.6838,0.5262
47250,6.6206,0.5086
47300,6.5351,0.5310
47350,6.3976,0.5197
47400,6.5997,0.5352
47450,6.5869,0.5390
47500,6.3856,0.5482
47550,6.0250,0.5575
47600,6.0538,0.5631
47650,6.1149,0.5373
47700,6.0692,0.5457
47750,6.2718,0.5448
47800,6.2521,0.5358
47850,6.3344,0.5553
47900,6.0036,0.5522
47950,6.4713,0.5363
48000,6.1407,0.5345
48050,6.3020,0.5385
48100,6.3545,0.5337
48150,6.3508,0.5259
48200,6.2440,0.5097
48250,6.0000,0.5303
48300,6.2391,0.5313
48350,6.3033,0.5152
48400,6.0466,0.5508
48450,6.0836,0.5373
48500,5.9543,0.5567
48550,5.6582,0.5642
48600,5.8322,0.5573
48650,6.0284,0.5272
48700,6.4660,0.5337
48750,6.4343,0.5536
48800,6.4331,0.5330
48850,6.7063,0.5441
48900,6.6500,0.5214
48950,6.5807,0.5328
49000,6.4448,0.5424
49050,6.3313,0.5365
49100,6.7241,0.5375
49150,6.5733,0.5455
49200,6.7713,0.5232
49250,6.7885,0.5263
49300,6.7785,0.5503
49350,7.1770,0.5311
49400,6.9718,0.5155
49450,6.7574,0.5565
49500,7.1411,0.5474
49550,7.0527,0.5459
49600,6.8163,0.5284
49650,7.7612,0.5258
49700,7.4075,0.5342
49750,7.9972,0.5332
49800,8.2925,0.5170
49850,8.2131,0.5523
49900,8.4456,0.5503
49950,8.1813,0.5506
50000,8.2586,0.5493
